상품 코드,상품명,언어,카테고리,문의 유형,문의 내용,요청 ID,예약코드,예약 상태,createdAt
35046,트렌디 크로아티아 스카이다이빙 체험,일본어,쇼핑,기타,배송 일정 확인 문의드립니다,B4EF56,R2279LSCU,확정,2025-04-21
35046,트렌디 크로아티아 스카이다이빙 체험,일본어,쇼핑,기타,재고 상태 확인 알려주세요,167017,RAGVG6ZYM,확정,2025-08-12
35046,트렌디 크로아티아 스카이다이빙 체험,일본어,쇼핑,상품 문의,예약 변경 문의 알려주세요,CD16DD,R4XN32NVU,확정,2025-06-27
64332,미식형 타이베이 초호화 리조트,영어,계정,상품 문의,A/S 절차 문의 도와주세요,4A26E4,RCU4P67GG,승인대기,2025-08-25
64332,미식형 타이베이 초호화 리조트,홍콩어,계정,상품 문의,추가 사진 요청 부탁드립니다,317222,RCA0QWEWF,승인대기,2025-04-18
64332,미식형 타이베이 초호화 리조트,영어,계정,상품 문의,배송지 변경 요청 문의드립니다,D2D18E,RE2DHCCI9,결제대기,2025-06-07
64332,미식형 타이베이 초호화 리조트,영어,계정,예약 변경/취소,영수증 발급 문의 가능할까요,9725CF,RCEWSIM57,결제대기,2025-03-11
64332,미식형 타이베이 초호화 리조트,영어,계정,상품 문의,재고 상태 확인 도와주세요,DED4E2,RDZYNO835,확정,2025-08-26
64332,미식형 타이베이 초호화 리조트,홍콩어,계정,상품 문제,프로모션 참여 문의 가능할까요,D861BE,R1XG4YDWK,승인대기,2025-06-17
64332,미식형 타이베이 초호화 리조트,홍콩어,계정,상품 문제,재고 상태 확인 부탁드립니다,CA6081,R8RZK26WQ,결제대기,2025-02-02
64332,미식형 타이베이 초호화 리조트,영어,계정,상품 문의,배송 일정 확인 확인 바랍니다,78FF8A,R2ZBBRBIE,확정,2025-03-24
64332,미식형 타이베이 초호화 리조트,영어,계정,예약 변경/취소,오류 메시지 신고 부탁드립니다,56CC8E,R2OUJR968,결제대기,2025-03-01
64332,미식형 타이베이 초호화 리조트,영어,계정,상품 문의,오류 메시지 신고 도와주세요,920867,RDJ9L4KXQ,승인대기,2025-07-14
64332,미식형 타이베이 초호화 리조트,영어,계정,시스템 사용문제,배송지 변경 요청 문의드립니다,6EAD86,RE8KYNMSD,승인대기,2025-02-05
64332,미식형 타이베이 초호화 리조트,홍콩어,계정,상품 문제,포장 옵션 문의 문의드립니다,252F81,RD0GVZ0O1,확정,2025-04-17
64332,미식형 타이베이 초호화 리조트,홍콩어,계정,상품 문의,프로모션 참여 문의 문의드립니다,EC77F0,R1NR1EQTH,승인대기,2025-06-22
